code,name_en,name_kn,image,party,
175,Umapathy Srinivasa Gowda,ಉಮಾಪತಿ ಶ್ರೀನಿವಾಸ ಗೌಡ,s10/Umapa-2023-20230418123850,inc,
175,K Narayan Raju,ಕೆ ನಾರಾಯಣರಾಜು,s10/K.Nar-2023-20230419125048,jds,
175,Sitharamu,ಸೀತಾರಾಮು,s10/Sitha-2023-20230418020602,aap,
176,H P Rajagopala Reddy,ಎಚ್ ಪಿ ರಾಜಗೋಪಾಲ ರೆಡ್ಡಿ,s10/Rajag-2023-20230420012304,jds,
176,Ashok Mruthyunjaya,ಅಶೋಕ್ ಮೃತ್ಯುಂಜಯ,s10/Ashok-2023-20230418023619,aap,
176,R K Ramesh,ಆರ್ ಕೆ ರಮೇಶ್,s10/RKRam-2023-20230418011123,inc,
176,M Krishnappa,ಎಂ ಕೃಷ್ಣಪ್ಪ,S10/MKris-2023-20230424124752,bjp,
177,Srinivas C Hullahalli,ಶ್ರೀನಿವಾಸ್ ಸಿ ಹುಲ್ಲಹಳ್ಳಿ,S10/Srini-2023-20230421065516,bjp,
177,B Shivanna,ಬಿ ಶಿವಣ್ಣ,S10/BShiv-2023-20230421064405,inc,
177,K P Raju,ಕೆ ಪಿ ರಾಜು,S10/KPRaj-2023-20230421063454,jds,
177,Munesha M,ಮುನೇಶ ಎಂ,S10/Munes-2023-20230421065550,aap,
